web_scraper_order,web_scraper_start_url,product,Name,price,Brand,Department,Display,Rating,pages
"1767350599-1","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/204066457648?_skw=watches&itmmeta=01KDZ4VMH0X1FH63KWFVC22028&hash=item2f834f0830:g:1qcAAOSwdUFi9VYp&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1feHpCQfRlTwUpbGBqLKz8j7CsFMcbXGdMjPfBxvo02hPHcQDBhXFd9C8wu3gVu8WI60LJ3%2FrPqayemu1xEOV0M37R0Te0qTEMHDbIMFOhRHlF%2FL60hBPYuhRxssgXb%2FC%2FdC5MwPkOVcbmpwJ22Ka3jDYmhSnmhyIbWJNX4hU%2BEgdBqdhdUgI29UWdmNFQtwm7tBNkRldhxTN2BO3Xi5MPOrbKwniNnUmzlwT7KHYc71A%3D%3D%7Ctkp%3ABlBMUIrJ7uTvZg","Ice Watch Sunshine Orange Dial Silicone Strap Date Man's 42mm Watch","US $24.99","Ice-Watch","Men","Analog","4.7","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350608-2","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/389160592310?_skw=watches&itmmeta=01KDZ4VMH06M2YCEQ2E1AHVJ9K&hash=item5a9bc763b6:g:OpgAAeSwHj9pAlsN&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dcg3LE7o2kZZi2qEBAJsfWQlNvctDepRIOXY8W2cxC6dFtmziM0QSW0i5YwN%2FCUu7pO3rwxhL6jRZWKJmO1N0PWdG6QS%2FpUNySqdW5ATwRve4slofgomgOUC8ixWwAnWQdQQzNz8zXHE3qJ4FEEjnus%2FuQ%2ByesCNpMZK9%2BJxUQ8i6DxejdYXjLih6RPXqHTXTJzjEmOPXBJdRjti9PxT8ksUTwZwIPVnexHmH0D9UXuQ%3D%3D%7Ctkp%3ABlBMUIrJ7uTvZg","Tissot T-Race Chronograph Quartz Silver Dial 45mm Men's Watch T1414171103100","US $524.68","Tissot","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350614-3","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/127137751635?_skw=watches&epid=24061967820&itmmeta=01KDZ4VMH0BNYJ7YNQ0MYFG98R&hash=item1d9a002253:g:q8QAAOSwQkFoNUPs&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cA4OZeZ%2Ba3G60iL2XpijQaPNinG%2Fi5XEDhoDGt0P6y9V1gKAo9Zpy3WPCuv1%2FAB4MaxgQPBwF9G7DOTRXpwxcVoVFuBK3jn5K4cfX6DZ5A0Wb4rlO6NQ1LUuetMMuZ6hq9kIT91TyQ1MAjbrj8DKG3XrhekZ8G7l7elUtYNWHLYhemiXjA4aMsRjANbY%2F1tWdYAgeo7MawFJEqxQ4jhxaY3IGdEJwJb%2BL7VE1i5UmyIQ%3D%3D%7Ctkp%3ABk9SR4rJ7uTvZg","Invicta Marvel Captain America Men's 50mm Limited Edition Chrono Watch 43052","US $134.41","Invicta","Men","Analog","5.0","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350620-4","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/364909994459?_skw=watches&itmmeta=01KDZ4VMH0D984GS5C05TMY37G&hash=item54f654a1db:g:~0wAAOSwAnNmUEsU&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cGl4bhViBExeXF2c6FIxfkFBJpV%2BVAiPIBjho6k2UaShs39wdRn6D1Y%2BhwHP%2FYbjgu7zzm882arC0wdkR7Ck1yuxs6x%2FoXJe%2FnUXyLHN7v68SSEJlqBNLgV802rrS9fSg3JwPoek0Cj5oD1UtB3%2FxtQeyybeaPK8t6NVWYiRhXQWClLNMd1z8nxJpzgrXkf7RrXF6CToTZaujJeZG2NuE2x31kLJmgW%2BxXsd33r%2FGzo1duJyhV9STR2jHUb1k8jND5Rw%2FgpRAHMQ%2F9Mtf%2Fu%2F4J%7Ctkp%3ABk9SR4rJ7uTvZg","39mm Black Dial NH35 Automatic Watch Men 20ATM Dive Pilot Sapphire Retro 2024","US $75.60/ea","Tandorio","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350628-5","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/389412798065?_skw=watches&itmmeta=01KDZ4VMH0S0V0SV9W8N415ADH&hash=item5aaacfbe71:g:OT4AAeSwgfppTJ7s&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1erwFU3F4YxjhfT0X1xxXQti%2Bba1GTSc15KxajNRZPfqWW5pJ8rxXClhqJZ7RBZQEVfRDxU0AZE6NIuHEC4Bfg78Q2zZDyfu4Q7dMgEkrqsYJV%2BHh%2B3fo8UFHtddDHbirgbkQnc%2B7ar8I%2ByOQH9xE08PSCJant2m3UrDMjquPeRPPm7QcCNjrnrKiR47uIbQL1ih49klWTJCzk186tXvrvV1DN7FPcYlNgkdKEFIK8FAQ%3D%3D%7Ctkp%3ABk9SR4rJ7uTvZg","F-91W-1 Men’s 2025 Digital Silver Watch Resin Classic Alarm Light Waterproof","US $15.99","Unbranded","Men","Digital","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350634-6","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/277571681264?_skw=watches&epid=25081434438&itmmeta=01KDZ4VMH08GG1WKV0XA803RQD&hash=item40a08fbbf0:g:PcwAAeSw2h9oHp1B&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d3Kwxjpl4Q5XF5uK3KyisTqnNCtJeY3tm%2BWZq2O7AX8UWMwN4R%2BfoP9GWAc0RyfUG773Zq7eEF0qPkDGqDAA69f%2Fb64XK0c7%2FRHvh0w6JdmK6tH1xgvDS7RFAUZJCM69Y0G0kYIQ2ELEBKXHmhNHmENF2RzVvKe0Z7B3W9YjjGCQ%2BuSHzyy4gUzM8O7hQoTcP29yyL%2FcBMSwsB0Sh2kk09QxzXQ%2B%2Bo3iKzdW%2Bu1mAUEw%3D%3D%7Ctkp%3ABk9SR4rJ7uTvZg","Invicta S1 Rally Diablo Men's Watch - 48mm, Black 42331 NEW","US $265.00","Invicta","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350642-7","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/364909982480?_skw=watches&itmmeta=01KDZ4VMH0T4KFHKTVVP408GJA&hash=item54f6547310:g:QXYAAOSwE5ZmUEiz&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fixcc5GaMHdvtPc7wlj7A4omg5L2PraZgH%2FSDCVqPkc3bawojUZRPKVG9UiRSrbblCh7Ps4AVroW7wLvN28JNx7w%2BeG21QOHtIIK1w1Rvh0s45A6r%2FGEmX9g0Ds2j8h%2BdUmWApkr9DcgAXS5hchJMJxmahDVWWku5G25n9qDuMw9y6bEfA61Jo8ZT9KcaNdmDorR8I7GkIPzdmjXoZ61BhfFrG9H44kJIBGgKdnJ9tJg%3D%3D%7Ctkp%3ABk9SR4rJ7uTvZg","Beige Dial 39mm NH35 Automatic 20ATM Diving Men Watch Pilot Sapphire Glass Retro","US $75.60/ea","Tandorio","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350649-8","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/256013606147?_skw=watches&epid=8058160613&itmmeta=01KDZ4VMH065YVXMECTD9CHY1K&hash=item3b9b999d03:g:z04AAeSwfS9pRWm6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fwTIWTgL68zWXt2Q6T9GOxxs%2BtY2%2FmolMs8%2B7fbUgK%2F3k0ChMcNy%2FBQjgSs64mT1vHc4jPBJ1SaIyyDzynWA2hgvRaGjO72TV3qZeXVB9BMaq2aabwd6tJnQcAs3c%2FLM105dG5kPUOtSK4lgS%2F6S8WGmvqieF%2FW0dyvydISI1Bbrzm2IEn%2BE5Fb1eZ4qwRa4rs43NgY0WRA%2BaO5YA1Q3qLMY9iO22LKjuz3deb7rg4HhYI7bd3oGOBFHFeOmF2IJmINnf9J%2F4HYq665VEbFpul%7Ctkp%3ABk9SR4rJ7uTvZg","MVMT Men's MC02-GML Quartz Gunmetal Dial Chronograph Watch MSRP $135","US $69.95","MVMT","Men","Analog","5.0","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350672-9","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/126294649370?_skw=watches&epid=18036224219&itmmeta=01KDZ4VMH0XDBXN6CQB2JRG5F5&hash=item1d67bf6a1a:g:5AYAAOSw07tnP4AM&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dOhZUw1ekvpRGPnk1ISgGKLABJv6AHOqMEb%2FnIs9o22AmF3x3FwRl3oxxV56a4imnFf0rDNjJepeQ4eoXnWV2hUygfvVXGQpR2cri5fILji8l5QWVPIqeekG2uVB6mSeVqbbqFo2VNlR37%2BzcLa5mtVFb1CMEbe8D3lbCg8%2BqWRgaWh8FVxqBbqjPhrt12wDLYewcY7TaYuSe6nlIsb3%2Bb25D13pvFAG%2Bay1MWMTjOJdXU6%2FLdwR%2BLU%2BSAPVIBHNo9VsZsZF7Z%2B6dwKIZcnmOZ%7Ctkp%3ABk9SR4rJ7uTvZg","Invicta Men's Watch Pro Diver Blue Dial Silver Tone Stainless Steel 30807","US $63.90","Invicta","Men","Analog","4.6","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350677-10","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/306647220911?_skw=watches&epid=11012922743&itmmeta=01KDZ4VMH0SE5TQV12FH9JB1QZ&hash=item47659942af:g:YYUAAeSwRv9pNmIb&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eJCJn%2F2lQ1b%2BzWlELhk%2FuplGBRWqZvI5f7p6mBIxagbIG7YwY2CTyLn9Ht3NH4R6k3QbQC5vOhBL0cog7L4ZoSkDO4v9YgGuIto777FOK31oFGDt2bNspS5Zz5PBBWVJUdpICdCbRqCE%2BrMUb7WhB7mQuNHSGkzv9yvwGP0y8mKdDRdBgBYeUrypA60i6m%2Bxm52iAqrsny7lQvJBiwGN3zmwOmO6nAuaFow0lc6ICBEA1xIT5BDCU9sMRs2NrdEVrNRwqPL%2FUAFYiKahd%2FHrqR%7Ctkp%3ABk9SR4jJ7uTvZg","Invicta 25900 Venom Black Dial 53.7 mm Men's Watch New","US $220.00","Invicta","Men","Black","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
